rate,comment
width: 20%;,Sao mình quét mã để kết nối với dt mà không được
width: 20%;,"mic rất rất kém, không thể nghe được âm thanh trong phòng."
width: 20%;,2 sản phẩm nhưng 1 sản phẩm bị lỗi cần sự hổ trợ ráp
width: 20%;,"mở hộp chỉ có dây sạc, thiếu đầu sạc. rất ko hài lòng"
width: 20%;,"Camera không quét được mã QR, như vậy phải làm thế nào?"
width: 20%;,sản phẩm k quét được mã vạch.  thất vọng khi mia hàng
width: 20%;,"Toàn báo động giả
Con muỗi bay ngang cũng báo"
width: 40%;,hàng bị móp chất lượng thu kén chọn
width: 20%;,Mình không thể quét được mã QRCode
width: 20%;,camera này kg cài dược
width: 20%;,Sp bi loi ko su dung được
width: 40%;,Ko kèm cục sạc
width: 20%;,Thiếu adapter !
width: 40%;,
width: 40%;,
width: 20%;,
width: 20%;,
width: 20%;,
width: 20%;,"Mjh mua hàng TIki rất nhiều , nhưng lần này rất thất vọng về cách phục khách hàng.
Sp mới nhận tess sp ko như quảng cáo , quảng cáo ko đúng , âm thanh hai chiều nghe ko ấm , chất lượng độ phân giải ko như quảng cáo , mua mới tess sản phẩm , thấy chất lượng kém , hoàn trã sản phẩm , TiKi ko hỗ trợ đổi  trã , báo lỗi  nhân viên tìm mọi cách để khách hàng bất phải nhận , ko trã lại đc . mong ace trước khi mua tất cả sản phẩm nhớ tess hã nhận hàng !!! Dù là sản ko bao nhiêu tiền , quan trọng là chất lượng và huy tính!!!"
width: 20%;,KHÔNG HÀI LÒNG vì Tiki giao hàng làm lỡ việc của mình. Mình đặt hàng 4/6 và mình đã chọn Tikinow (chấp nhận mất thêm tiền để được giao hàng vào ngày hôm sau 5/6). Vì có đứa em ở quê nhờ mua nên tiện sáng 6/6 mình về quê cầm về luôn. Vậy mà Tiki trưa 6/6 mới giao hàng cho mình. Rất bực mình vì cách làm việc không đúng hẹn của Tiki. Về sản phẩm thì k có vấn đề gì.
width: 20%;,Tôi không thể hiểu nổi camera này làm nút reset trang trí à. Bấm nút reset không thiết lập lại được. Mãi 1 hồi thì mới liên kết được cái camera. Coi cam thì được lần đầu tiên. Được khoảng 10s cam đơ bị báo ngoại tuyến mặc dù mình để camera sát cục wifi và thật sự khó chịu khi vô load bị báo lỗi không kết nối mạng. Tôi muốn đổi trả sản phẩm
width: 20%;,"Giao hàng nhanh. Đã test sản phẩm chưa thấy lỗi nhưng không hài lòng chỗ sản phẩm đã bị mở hộp từ trước rồi dán tem tiki trading vào. Mình đã dùng nhiều camera loại này, hộp sản phẩm lúc nào cũng có bao nilon bên ngoài chứ k phải dán tem tiki lên là được. Làm ăn đàng hoàn thì nên ghi rõ sản phẩm đã qua sử dụng hay đã mở hộp test gì đó. Mình có quay video lại nhưng k đăng lên được."
width: 20%;,"Shop xem lại sản phẩm của mình mới mua giúp. Chất lượng hình ảnh tốt. Nhưng lúc chỉnh góc cho camera cực kỳ khó, độ trễ quá lâu, bấm 1 cái phải 5s sau mới nhận tín hiệu quay, có khi tự quay hết 1 vòng luôn, mặc dù mình đã gắn dây LAN trực tiếp chứ k sài wifi. Khi mở báo động chuyển động, xảy ra tình trạng báo động giả thường xuyên, dù đã độ nhạy ở mức thấp, rồi có lúc người vào tận nhà rồi mà vẫn k nhận được thông báo chuyển động. Mong tiki giải quyết sớm. Tks!"
width: 40%;,"Giao hàng quá chậm. Từ khi tiếp nhận cho đến khi giao cho bên vận chuyển rồi đến tay khách là hơn 1 tuần mới có. Hàng có hiện tượng bị móp hộp bên trong và bị bóc lớp nilong bên ngoài rồi bọc lại. K biết là có bị tráo hàng hay gì không?. Chất lượng thì chưa kiểm chứng, đợi thời gian nữa sẽ biết"
width: 20%;,Shop đăng các thông số kỹ thuật không đúng cho sản phẩm để lừa dối khách hàng. Camera này không phải loại 1080p. Sản phẩm bị bóc bao bì dán thêm thông số trước khi gửi khách hàng. Đề nghị TIKI nên xem lại cách bán hàng giả dối của shop
width: 20%;,"cắm điện không vào điện rồi kêu thu hoi kiem tra cũng ko thay lien lac 
nhan vien thu hoi khó khăn , khách chi nói truoc khi den goi truoc dum thi kho khan . dich vu qua te rồi tới ngay hom nay khong thay thu hoi"
width: 40%;,"mình có 1 camera bi lỗi cảm biến hồng ngoại, đã mang đi bảo hành mà đã 2 tháng rồi vẫn chưa thấy xong, mail cho tiki support thì bảo chờ mà cũng ko biết phải chờ thêm bao lâu nữa."
width: 20%;,"sau khi nắp đặt cam chỉ quay đc lên xuống theo chiều dọc,  còn quay ngang mình phai quay mồi mới quay đc.. chất lượng hình ảnh mờ.. nói chung là muốn trả lại và lấy lại tiền"
width: 20%;,"Camera mới lắp đặt và sử dụng được 2 tuần thì đột nhiên cháy, tiki thì nói nhà cung cấp k chịu bảo hành, chắc không giám mua đồ điện tử trên tiki nữa"
